ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2
53,160,160,0,40,3165,19.36,17.37,9,1,PbSe,5,5,15.625,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
54,160,160,0,60,3747,20.63,20.25,9,1,PbSe,5,5,15.625,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
55,160,160,0,90,4870,20.81,23.24,1,1,PbSe,5,5,15.625,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
56,160,160,0,2,4756,5.74,8.8,9,1,PbSe,5,5,46.875,5.015,5.605,33.336,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
57,160,160,0,5,4074,6.08,7.75,9,1,PbSe,5,5,46.875,5.015,5.605,33.336,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
58,160,160,0,10,2283,6.61,6.86,9,1,PbSe,5,5,46.875,5.015,5.605,33.336,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
59,160,160,0,20,2043,7.33,7.09,9,1,PbSe,5,5,46.875,5.015,5.605,33.336,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
60,160,160,0,40,1125,8.04,6.88,9,1,PbSe,5,5,46.875,5.015,5.605,33.336,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
61,160,160,0,60,561,8.57,10.16,9,1,PbSe,5,5,46.875,5.015,5.605,33.336,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
62,160,160,0,2,739,5.65,13.34,9,1,PbSe,5,5,46.875,5.015,5.605,44.459,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
63,160,160,0,5,810,6.35,8.48,9,1,PbSe,5,5,46.875,5.015,5.605,44.459,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
