x,y,shape label
-0.290924162,-40.8940239,6
1.0499364137649536,-41.5826683,6
1.4861714839935303,-42.17683029,6
-31.83552361,-29.60624886,9
-33.20049667,-29.20307159,9
-33.06377411,-28.70557785,9
-24.28278351,-30.85642242,9
-23.73602676,-31.15099144,9
-16.23922157,-34.94380569,9
-23.98663521,-31.21764183,9
-32.17437744,-29.11302757,9
-32.46551895,-28.74048042,9
-32.67122269,-27.87339783,9
-15.21275139,-31.15084076,9
-16.10348701,-21.44473457,9
-15.93309021,-20.68403435,9
-8.514718056,-27.90266228,9
-5.157633781,-20.27060127,9
-1.450933456,-12.44455242,9
-14.64227009,-35.67623138,9
-14.11702061,-35.49862671,9
-13.77840328,-35.31581497,9
-10.20195484,-28.31919098,9
-10.84623623,-29.04662323,9
-10.75994873,-28.94055748,9
-10.53075981,-28.63493919,9
-3.813827038,-20.10564423,9
-3.352092981,-18.54677773,9
-33.61335754,-26.90606499,9
-33.73597336,-26.852314,9
-34.49605942,-26.80072594,9
-35.44635773,-26.81848526,9
-5.901134968,-24.89477921,9
-5.158137321,-25.5937748,9
-4.787363052,-26.00175858,9
24.902822494506836,-28.93438911,1
-3.534329891,-26.86584473,9
20.51458168029785,-28.56644058,1
20.642343521118164,-28.66061783,1
46.179866790771484,-12.28460026,1
-4.808222294,-18.98720741,9
-4.397988796,-19.24928665,9
-3.631989717,-18.98490906,9
-2.736045361,-17.36846733,9
-4.019518375,-17.99122238,9
-3.567508936,-17.98293495,9
-3.236509562,-17.85418701,9
-2.164675236,-17.33512497,9
-1.678093553,-16.68614197,9
-32.48298645,-29.9912281,9
-33.49755478,-29.67534828,9
-34.10096741,-29.48821259,9
-20.81890678,-33.47294998,9
-20.48791313,-33.39183044,9
-20.46823311,-33.09801483,9
-21.01620293,-32.78533173,9
-21.68143463,-32.53017426,9
-24.59908867,-35.84729767,9
-24.61646271,-35.67908859,9
-25.21945572,-35.25235367,9
-27.18908119,-37.36830521,9
-27.69524765,-37.44558334,9
-60.81357574,-16.85924149,9
-60.50712585,-16.05822372,9
-27.8342514,-37.90075302,9
-27.93989182,-37.9768219,9
-28.09943771,-38.22411728,9
-60.99201584,-16.35399818,9
-60.72044754,-15.96743965,9
-33.33404922,-28.2689209,9
-33.60150146,-28.19011307,9
-34.24530411,-28.17226219,9
-34.81996918,-27.90783501,9
-35.14684296,-27.56529999,9
-18.19109726,-27.90799141,9
-15.13284302,-22.57085991,9
-14.52270889,-21.43701553,9
-14.90186596,-20.53633118,9
-8.471581459,-26.89754105,9
-5.326333046,-23.43427277,9
-5.133201599,-23.05479622,9
-1.467804432,-12.49659729,9
-9.335852623,-28.14839554,9
-9.187867165,-27.95726013,9
-9.149833679,-27.58089256,9
-3.981092453,-21.10645294,9
-2.853496075,-18.8432579,9
-3.870673895,-20.19266129,9
-3.620241404,-20.32122612,9
-2.360794783,-18.01027489,9
-1.677543044,-16.72757149,9
-14.61061478,-36.57015228,9
-17.02860641,-33.25170517,9
-16.86513138,-30.9927845,9
-16.55769539,-35.2769165,9
-3.370987415,-39.81140518,9
-2.971007824,-39.74305344,6
-2.699294806,-39.73416138,6
23.131940841674805,-63.03284836,5
29.84349250793457,-34.90866852,1
-17.20190811,-17.06045532,9
-7.921738625,-31.610569,9
-7.853532791,-31.58932304,9
-7.705945969,-31.55942535,9
-5.482318401,-31.37431145,9
-7.672044277,-31.43385506,9
-7.563183308,-31.14112854,9
-7.304225922,-30.67990303,9
-5.430485249,-31.14358711,9
-4.449678421,-31.10133553,6
-3.679347277,-31.31459427,6
-5.009336948,-30.8483448,9
-4.693277359,-30.2647953,9
-3.734142542,-29.93541527,9
-3.235188007,-29.26764297,1
-3.178746223,-28.24308968,1
-2.9369452,-28.03479004,1
-3.386867285,-28.67818642,1
-3.6731112,-27.86937904,9
-3.50746274,-27.59297752,9
-3.838848829,-26.49743652,9
-3.925279379,-26.000494,9
-45.42159271,8.752866744995117,9
-46.88994598,10.728687286376953,9
-3.622878313,-72.50141907,7
-4.011928082,-70.65177917,7
-17.19433022,10.88261890411377,9
-17.29296684,11.024713516235352,9
-17.14199257,10.941765785217285,9
-18.52475739,-17.58198166,9
-18.58959961,-17.4583416,9
-18.67643738,-17.30108452,9
-18.80780602,-17.08856583,9
-18.96437454,-17.04614258,9
-0.841666877,54.22848892211914,0
-1.10140419,53.7846794128418,0
-1.390360236,53.38304138183594,0
-29.51045036,34.91769790649414,9
-29.72220802,34.87541580200195,9
54.33243942260742,-18.76592827,1
54.23880386352539,-18.50269127,1
54.20783996582031,-18.34790421,1
54.18368911743164,-18.30181503,1
54.22739791870117,-18.2673893,1
0.7888262867927551,41.431514739990234,0
-59.97236252,13.667186737060547,9
-37.98462296,5.682776927947998,9
-38.52175522,5.262551307678223,9
-50.17114258,11.204294204711914,9
19.952238082885742,15.50611400604248,10
56.11082077026367,-27.2138176,1
-49.04372406,8.6786470413208,9
-49.74887848,-14.62426472,9
40.1414794921875,-21.59280396,1
-20.73027802,7.814408779144287,9
-20.63277626,7.816812038421631,9
-28.21983528,-36.76245117,9
-27.78850937,-36.42197037,9
-27.74990273,-36.10048294,9
-28.49970818,-36.1135025,9
-28.43502808,-35.9172821,9
-28.43052101,-35.80430603,9
-28.54992104,-35.75562286,9
-3.573807478,43.40833282470703,0
-60.49174881,-13.43760395,9
-60.56246948,-12.67647839,9
-60.62437057,-12.34135151,9
-55.70269775,-2.464565516,9
-55.69549942,-2.380415678,9
0.32963162660598755,47.55336380004883,0
6.417898654937744,37.13812255859375,0
-25.19620895,36.106300354003906,9
-25.34885979,36.47813415527344,9
-24.684412,36.3066291809082,9
-32.42155457,23.963163375854492,9
-32.39504242,23.927227020263672,9
-32.15613174,23.73750114440918,9
-35.41743851,29.334671020507812,9
-35.44825363,29.3388729095459,9
-35.49863052,29.341766357421875,9
-53.57653046,-4.869573116,9
